year,state_id,single_filer_rates,single_filer_brackets,married_filing_jointly_rates,married_filing_jointly_brackets,standard_deduction_single,standard_deduction_couple,personal_exemption_single,personal_exemption_couple,personal_exemption_dependent
2023,36,0.0985,183340,0.0985,304970,NULL,NULL,NULL,NULL,NULL
2023,37,0.05,10000,0.05,10000,2300,4600,6000,12000,1500
2023,38,0.02,1121,0.02,1121,13850,27700,0,0,0
2023,38,0.025,2242,0.025,2242,NULL,NULL,NULL,NULL,NULL
2023,38,0.03,3363,0.03,3363,NULL,NULL,NULL,NULL,NULL
2023,38,0.035,4484,0.035,4484,NULL,NULL,NULL,NULL,NULL
2023,38,0.04,5605,0.04,5605,NULL,NULL,NULL,NULL,NULL
2023,38,0.045,6726,0.045,6726,NULL,NULL,NULL,NULL,NULL
2023,38,0.0495,7847,0.0495,7847,NULL,NULL,NULL,NULL,NULL
2023,21,0.01,0,0.01,0,5540,11080,2960,5920,2960
2023,21,0.02,3600,0.02,3600,NULL,NULL,NULL,NULL,NULL
2023,21,0.03,6300,0.03,6300,NULL,NULL,NULL,NULL,NULL
2023,21,0.04,9700,0.04,9700,NULL,NULL,NULL,NULL,NULL
2023,21,0.05,13000,0.05,13000,NULL,NULL,NULL,NULL,NULL
2023,21,0.06,16800,0.06,16800,NULL,NULL,NULL,NULL,NULL
2023,21,0.0675,21600,0.0675,21600,NULL,NULL,NULL,NULL,NULL
2023,22,0.0246,0,0.0246,0,7900,15800,157,314,157
2023,22,0.0351,3700,0.0351,7390,NULL,NULL,NULL,NULL,NULL
2023,22,0.0501,22170,0.0501,44350,NULL,NULL,NULL,NULL,NULL
2023,22,0.0664,35730,0.0664,71460,NULL,NULL,NULL,NULL,NULL
2023,23,0,NULL,0,NULL,0,0,0,0,0
2023,24,0,NULL,0,NULL,0,0,2400,4800,0
2023,25,0.014,0,0.014,0,0,0,1000,2000,1500
2023,25,0.0175,20000,0.0175,20000,NULL,NULL,NULL,NULL,NULL
2023,25,0.035,35000,0.0245,50000,NULL,NULL,NULL,NULL,NULL
2023,25,0.05525,40000,0.035,70000,NULL,NULL,NULL,NULL,NULL
