year,state,single_filer_rates,single_filer_brackets,married_filing_jointly_rates,married_filing_jointly_brackets,standard_deduction_single,standard_deduction_couple,personal_exemption_single,personal_exemption_couple,personal_exemption_dependent
2023,26,0.01700,0,0.01700,0,13850,27700,0,0,4000
2023,26,0.03200,5500,0.03200,8000,,,,,
2023,26,0.04700,11000,0.04700,16000,,,,,
2023,26,0.04900,16000,0.04900,24000,,,,,
2023,26,0.05900,210000,0.05900,315000,,,,,
2023,27,0.04000,0,0.04000,0,8000,16050,0,0,1000
2023,27,0.04500,8500,0.04500,17150,,,,,
2023,27,0.05250,11700,0.05250,23600,,,,,
2023,27,0.05500,13900,0.05500,27900,,,,,
2023,27,0.06000,80650,0.06000,161550,,,,,
2023,27,0.06850,215400,0.06850,323200,,,,,
2023,27,0.09650,1077550,0.09650,2155350,,,,,
2023,27,0.10300,5000000,0.10300,5000000,,,,,
2023,27,0.10900,25000000,0.10900,25000000,,,,,
2023,28,0.04750,0,0.04750,0,12750,25500,0,0,0
2023,29,0.01100,0,0.01100,0,13850,27700,0,0,0
2023,29,0.02040,41775,0.02040,69700,,,,,
2023,29,0.02270,101050,0.02270,168450,,,,,
2023,29,0.02640,210825,0.02640,256650,,,,,
2023,29,0.02900,458350,0.02900,458350,,,,,
2023,30,0.02765,26050,0.02765,26050,0,0,2400,4800,2400
2023,30,0.03226,46100,0.03226,46100,,,,,
2023,30,0.03688,92150,0.03688,92150,,,,,
2023,30,0.03990,115300,0.03990,115300,,,,,
2023,31,0.00250,0,0.00250,0,6350,12700,1000,2000,1000
2023,31,0.00750,1000,0.00750,2000,,,,,
2023,31,0.01750,2500,0.01750,5000,,,,,
2023,31,0.02750,3750,0.02750,7500,,,,,
2023,31,0.03750,4900,0.03750,9800,,,,,
2023,31,0.04750,7200,0.04750,12200,,,,,
2023,32,0.04750,0,0.04750,0,2605,5210,236,472,236
2023,32,0.06750,4050,0.06750,8100,,,,,
2023,32,0.08750,10200,0.08750,20400,,,,,
2023,32,0.09900,125000,0.09900,250000,,,,,
2023,39,0.03070,0,0.03070,0,0,0,0,0,0
2023,40,0.03750,0,0.03750,0,10000,20050,4700,9400,4700
2023,40,0.04750,68200,0.04750,68200,,,,,
2023,40,0.05990,155050,0.05990,155050,,,,,
2023,41,0.00000,0,0.00000,0,13850,27700,0,0,4430
2023,41,0.03000,3200,0.03000,3200,,,,,
2023,41,0.06500,16040,0.06500,16040,,,,,
2023,42,0.00000,,0.00000,,0,0,0,0,0
2023,43,0.00000,,0.00000,,0,0,0,0,0
2023,44,0.00000,,0.00000,,0,0,0,0,0
2023,45,0.04850,0,0.04850,0,831,1662,0,0,1802
2023,46,0.03350,0,0.03350,0,6500,13050,4500,9000,4500
2023,46,0.06600,42150,0.06600,70450,,,,,
2023,46,0.07600,102200,0.07600,170300,,,,,
2023,46,0.08750,213150,0.08750,259500,,,,,
2023,47,0.02000,0,0.02000,0,8000,16000,930,1860,930
2023,47,0.03000,3000,0.03000,3000,,,,,
2023,47,0.05000,5000,0.05000,5000,,,,,
2023,47,0.05750,17000,0.05750,17000,,,,,
2023,48,0.00000,,0.00000,,250000,250000,0,0,0
2023,49,0.03000,0,0.03000,0,0,0,2000,4000,2000
2023,49,0.04000,10000,0.04000,10000,,,,,
2023,49,0.04500,25000,0.04500,25000,,,,,
2023,49,0.06000,40000,0.06000,40000,,,,,
2023,49,0.06500,60000,0.06500,60000,,,,,
2023,50,0.03540,0,0.03540,0,12760,23620,700,1400,700
2023,50,0.04650,13810,0.04650,18420,,,,,
2023,50,0.05300,27630,0.05300,36840,,,,,
2023,50,0.07650,304170,0.07650,405550,,,,,
2023,51,0.00000,,0.00000,,0,0,0,0,0
2023,9,0.04000,0,0.04000,0,13850,27700,0,0,0
2023,9,0.06000,10000,0.06000,10000,,,,,
2023,9,0.06500,40000,0.06500,40000,,,,,
2023,9,0.08500,60000,0.08500,60000,,,,,
2023,9,0.09250,250000,0.09250,250000,,,,,
2023,9,0.09750,500000,0.09750,500000,,,,,
2023,9,0.10750,1000000,0.10750,1000000,,,,,
